Id,customer.id,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,pub.rec,inq.last.6mths,delinq.2yrs,paid.back.loan
8558,LA008559,No,debt_consolidation,15.45%,453.52,10.59663473,14.52,657,3810.0,8545,82.2,0,Less than 5,No,Yes
6366,LA006367,Yes,all_other,8.59%,316.11,11.53272809,9.33,802,5760.0,2890,4.7,0,Less than 5,No,Yes
2324,LA002325,Yes,debt_consolidation,13.79%,195.94,10.858999,18.58,687,5562.0,6180,92.2,0,Less than 5,No,Yes
650,LA00651,Yes,debt_consolidation,12.29%,293.51,10.81977828,20.04,692,3360.0,25807,59.8,0,Less than 5,No,Yes
3643,LA003644,Yes,debt_consolidation,11.89%,643.39,11.57115664,15.44,727,7680.0,61595,51.6,0,Less than 5,No,Yes
2381,LA002382,Yes,small_business,9.32%,278.74,10.858999,16.59,757,5520.0,43232,41.1,0,Less than 5,No,No
6911,LA006912,Yes,home_improvement,11.14%,492.06,11.39639165,3.76,757,13200.0,16001,38.6,0,Less than 5,No,No
2442,LA002443,Yes,debt_consolidation,13.16%,202.63,10.49127422,23.77,692,4440.0,6581,39.6,0,Less than 5,No,No
7011,LA007012,Yes,small_business,14.26%,123.51,12.24047407,2.24,742,5190.0,105418,66.2,0,Less than 5,No,No
3833,LA003834,Yes,home_improvement,8.94%,301.83,11.35627165,6.27,747,3449.958333,6382,9.4,0,Less than 5,No,Yes
341,LA00342,Yes,small_business,12.04%,126.29,11.05089001,12.5,667,3300.0,29736,80.2,0,Less than 5,No,Yes
1821,LA001822,Yes,credit_card,12.53%,435.07,10.89673933,14.38,707,7020.041667,1109,9.7,0,Less than 5,No,Yes
6381,LA006382,Yes,credit_card,14.26%,548.9,11.36210258,12.71,687,5264.041667,16799,74.7,0,Less than 5,Yes,Yes
493,LA00494,Yes,debt_consolidation,7.37%,24.84,10.46310334,7.65,777,4620.041667,19901,29.8,0,Less than 5,No,Yes
9367,LA009368,No,debt_consolidation,13.22%,219.71,10.77895629,18.25,707,6510.0,10274,36.3,1,Less than 10,No,Yes
3018,LA003019,Yes,all_other,9.63%,224.66,10.77895629,10.35,757,5519.958333,2108,10.9,0,Less than 5,No,Yes
4511,LA004512,Yes,debt_consolidation,8.94%,95.32,11.33806004,23.05,717,8339.958333,14040,67.2,0,Less than 5,No,Yes
369,LA00370,Yes,all_other,7.75%,312.22,11.65702581,2.89,807,5160.0,0,0.0,0,Less than 5,No,Yes
1083,LA001084,Yes,all_other,10.39%,243.38,10.30895266,10.24,702,10319.95833,10444,14.1,0,Less than 5,Yes,Yes
4375,LA004376,Yes,small_business,13.22%,84.51,11.40756495,1.31,787,5399.958333,18373,0.0,0,Less than 5,No,Yes
1092,LA001093,Yes,home_improvement,9.45%,192.06,11.60823564,8.68,722,13349.95833,1390,1.8,0,Less than 5,No,Yes
2130,LA002131,Yes,debt_consolidation,14.42%,481.36,11.73606902,13.27,682,8473.0,30160,33.1,0,Less than 5,Yes,Yes
6346,LA006347,Yes,credit_card,11.48%,69.24,10.42228135,13.39,702,2520.0,14878,37.7,0,Less than 5,No,Yes
5410,LA005411,Yes,debt_consolidation,11.48%,197.82,10.46253175,1.61,742,5369.958333,1926,6.0,0,Less than 5,Yes,No
4319,LA004320,Yes,credit_card,11.83%,662.68,11.35040654,24.27,737,5610.0,43878,66.6,0,Less than 5,No,No
9086,LA009087,No,all_other,16.00%,210.95,10.45966888,15.62,662,2580.0,829,69.1,0,Less than 5,No,No
6588,LA006589,Yes,major_purchase,11.83%,579.85,11.81303006,12.28,737,7140.041667,19549,52.5,0,Less than 5,No,Yes
1498,LA001499,Yes,all_other,12.72%,335.6,10.59923136,22.53,682,4020.0,408,2.1,0,Less than 5,Yes,Yes
2524,LA002525,Yes,all_other,10.95%,297.7,11.30471979,0.15,692,4379.958333,517,8.9,0,Less than 5,Yes,Yes
8058,LA008059,No,all_other,10.91%,326.97,10.26813067,2.46,682,2609.041667,1999,99.9,0,Less than 5,No,Yes
793,LA00794,Yes,credit_card,12.29%,100.06,10.37349118,13.28,672,4320.0,2940,27.7,0,Less than 5,Yes,Yes
213,LA00214,Yes,credit_card,10.91%,604.88,10.858999,17.56,707,8061.0,32438,43.0,0,Less than 5,Yes,Yes
3957,LA003958,Yes,debt_consolidation,10.95%,523.42,10.621424900000001,17.0,752,4290.0,1850,7.6,0,Less than 5,No,Yes
7507,LA007508,Yes,debt_consolidation,10.99%,327.36,11.47210347,16.1,712,4320.041667,2595,32.0,0,Less than 5,No,Yes
3507,LA003508,Yes,credit_card,13.79%,238.53,10.71441777,18.35,707,7170.0,12197,95.3,0,Less than 5,No,No
7725,LA007726,No,all_other,7.75%,156.11,11.15625052,8.81,772,6389.958333,0,7.3,0,Less than 5,No,Yes
8658,LA008659,No,all_other,13.87%,238.81,10.30895266,10.8,657,2324.958333,5710,48.8,0,Less than 5,Yes,Yes
6378,LA006379,Yes,credit_card,11.14%,82.01,10.30895266,19.88,757,2280.041667,1781,35.6,0,Less than 5,No,Yes
5167,LA005168,Yes,home_improvement,8.59%,151.73,10.20507253,22.5,752,2429.958333,974,4.3,0,Less than 5,No,Yes
6425,LA006426,Yes,debt_consolidation,14.96%,332.6,11.11765818,5.56,667,4920.041667,11028,23.5,0,Less than 5,Yes,Yes
7597,LA007598,Yes,credit_card,10.25%,404.81,10.50506754,18.38,732,3394.0,12849,45.6,0,Less than 5,No,Yes
5490,LA005491,Yes,all_other,13.92%,85.35,10.645424900000002,21.17,667,2519.958333,20323,78.8,0,Less than 5,No,Yes
7531,LA007532,Yes,credit_card,7.88%,375.37,10.66895539,13.87,752,3901.041667,18183,33.2,0,Less than 5,No,Yes
5562,LA005563,Yes,debt_consolidation,13.57%,611.44,10.69194491,6.33,692,11101.0,5494,14.1,0,Less than 5,No,Yes
1349,LA001350,Yes,credit_card,14.12%,102.71,10.08580911,9.3,662,1470.0,5062,85.8,0,Less than 5,No,Yes
1512,LA001513,Yes,all_other,11.46%,329.57,11.51292546,4.43,707,2850.0,13175,46.9,0,Less than 5,No,Yes
3577,LA003578,Yes,credit_card,13.16%,108.07,11.05089001,12.06,697,3509.958333,10678,97.1,0,Less than 5,No,Yes
6481,LA006482,Yes,credit_card,8.94%,285.95,10.46310334,7.58,752,2610.041667,10308,35.2,0,Less than 5,No,Yes
247,LA00248,Yes,all_other,7.75%,124.89,10.08580911,6.0,752,2729.041667,2666,12.1,0,Less than 5,No,Yes
5133,LA005134,Yes,debt_consolidation,14.61%,836.03,11.62621844,17.19,697,7020.0,53723,82.2,0,Less than 5,No,Yes
5324,LA005325,Yes,debt_consolidation,12.87%,33.64,10.31011865,23.81,692,3989.958333,18154,91.2,0,Less than 5,No,Yes
6364,LA006365,Yes,credit_card,11.48%,148.36,10.645424900000002,0.0,772,5520.0,0,0.0,0,Less than 5,No,Yes
2889,LA002890,Yes,major_purchase,15.05%,104.08,10.63585545,18.95,662,2370.0,4285,44.6,0,Less than 5,Yes,Yes
2142,LA002143,Yes,home_improvement,9.63%,481.42,11.69524702,2.93,802,4442.0,7265,11.7,0,Less than 5,No,Yes
2103,LA002104,Yes,debt_consolidation,8.00%,141.02,9.903687533,13.74,777,10411.04167,3223,4.0,0,Less than 5,No,Yes
7781,LA007782,No,educational,17.54%,43.11,9.169518377000001,8.38,612,659.0,546,47.6,0,Less than 5,Yes,Yes
6111,LA006112,Yes,debt_consolidation,11.83%,662.68,11.23848862,10.72,737,5040.0,2261,17.5,0,Less than 5,No,No
6083,LA006084,Yes,all_other,11.48%,329.69,10.70987413,14.79,727,3030.041667,16077,54.9,0,Less than 5,No,Yes
593,LA00594,Yes,home_improvement,11.34%,329.0,11.22524339,14.8,712,2970.0,23623,45.7,0,Less than 5,No,Yes
6861,LA006862,Yes,debt_consolidation,11.83%,149.11,9.46962297,9.17,702,4690.0,2832,36.8,1,Less than 5,No,Yes
7522,LA007523,Yes,credit_card,9.88%,450.95,10.51867319,20.04,737,3871.041667,15460,60.6,0,Less than 5,No,Yes
4733,LA004734,Yes,credit_card,8.59%,126.45,10.71441777,4.72,762,3073.0,7347,26.7,0,Less than 5,No,Yes
8026,LA008027,No,debt_consolidation,13.75%,102.17,10.59663473,16.71,642,1799.0,9135,76.8,0,Less than 40,No,Yes
7585,LA007586,Yes,small_business,10.62%,468.86,11.00209984,6.26,727,3180.041667,14373,88.2,0,Less than 5,No,Yes
74,LA0075,Yes,home_improvement,9.64%,80.26,11.22524339,20.0,772,4920.958333,269,3.8,0,Less than 5,No,No
2233,LA002234,Yes,educational,17.90%,108.3,11.88448902,19.97,672,10470.04167,29748,51.3,0,Less than 5,Yes,Yes
576,LA00577,Yes,debt_consolidation,10.71%,521.63,10.59653473,19.23,722,3120.041667,16738,77.9,0,Less than 5,No,Yes
9400,LA009401,No,debt_consolidation,12.53%,481.92,12.61153775,3.76,717,5700.041667,95564,82.2,0,Less than 10,No,No
5367,LA005368,Yes,debt_consolidation,16.35%,706.59,11.40756495,17.43,677,4410.0,14218,74.8,0,Less than 5,No,Yes
7309,LA007310,Yes,debt_consolidation,10.99%,180.05,10.79712359,19.79,697,3060.041667,6035,23.9,0,Less than 5,No,Yes
1752,LA001753,Yes,small_business,11.26%,200.47,12.00701176,15.02,762,7470.041667,141165,59.5,0,Less than 5,No,No
8887,LA008888,No,home_improvement,14.74%,103.62,10.1266311,14.16,712,6420.041667,7162,44.8,0,Less than 10,No,Yes
7759,LA007760,No,all_other,13.12%,180.57,8.29404964,15.0,662,178.95833330000002,0,47.8,0,Less than 5,No,Yes
7228,LA007229,Yes,debt_consolidation,14.59%,861.63,11.22524339,14.64,712,4560.041667,31675,64.0,0,Less than 5,No,Yes
3636,LA003637,Yes,all_other,10.95%,654.28,11.47820979,13.62,792,7439.958333,37466,30.9,0,Less than 5,No,Yes
379,LA00380,Yes,all_other,10.78%,130.54,10.37349118,0.38,682,1290.041667,887,38.6,0,Less than 5,No,Yes
4985,LA004986,Yes,debt_consolidation,14.61%,706.74,11.00209984,23.86,687,8071.0,4503,35.7,0,Less than 5,Yes,Yes
7191,LA007192,Yes,all_other,10.25%,712.47,11.23445167,15.46,762,5580.041667,17346,18.6,0,Less than 5,No,Yes
6195,LA006196,Yes,major_purchase,12.87%,168.17,10.645424900000002,20.14,682,3930.0,2035,40.0,0,Less than 5,Yes,Yes
9386,LA009387,No,educational,15.65%,188.93,10.61643736,3.71,662,13170.04167,1972,42.9,1,Less than 10,Yes,Yes
4615,LA004616,Yes,debt_consolidation,11.83%,596.41,11.66137995,8.22,747,7440.0,71965,76.6,0,Less than 5,No,Yes
4329,LA004330,Yes,educational,13.22%,67.61,8.29404964,6.0,697,1140.0,598,54.4,0,Less than 5,No,Yes
24,LA0025,Yes,debt_consolidation,12.29%,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,1,Less than 5,No,Yes
9283,LA009284,No,home_improvement,12.53%,100.4,11.69524702,3.48,702,7650.0,334,5.6,0,Less than 5,No,Yes
763,LA00764,Yes,debt_consolidation,15.13%,680.69,11.22524339,19.36,662,2669.958333,20658,55.4,0,Less than 5,No,Yes
1034,LA001035,Yes,all_other,8.00%,219.36,11.08214255,5.26,762,3870.0,0,0.0,0,Less than 5,No,Yes
3480,LA003481,Yes,home_improvement,14.42%,268.19,10.51856508,8.82,667,3240.0,9288,56.3,0,Less than 5,No,Yes
6858,LA006859,Yes,credit_card,15.31%,174.08,11.00209984,22.57,662,2250.0,4533,76.8,0,Less than 5,No,Yes
9231,LA009232,No,credit_card,11.14%,403.49,11.35040654,23.1,762,11790.0,190153,39.8,0,Less than 5,No,Yes
3208,LA003209,Yes,all_other,11.58%,297.13,11.00209984,15.72,732,1680.0,23,0.1,0,Less than 5,No,Yes
2526,LA002527,Yes,all_other,10.95%,261.71,10.59653473,22.98,692,7230.0,25336,48.5,0,Less than 5,No,No
4340,LA004341,Yes,credit_card,11.83%,662.68,10.89673933,5.0,757,4230.958333,22872,66.9,0,Less than 5,No,Yes
527,LA00528,Yes,home_improvement,9.45%,544.17,11.00209984,0.6,762,3390.041667,653,3.2,0,Less than 5,No,Yes
235,LA00236,Yes,debt_consolidation,9.96%,95.94,10.1266311,14.16,692,1918.0416670000002,7121,33.7,0,Less than 5,No,Yes
1643,LA001644,Yes,debt_consolidation,8.00%,159.82,10.93310697,7.85,747,4080.041667,2839,35.0,0,Less than 5,No,Yes
5487,LA005488,Yes,small_business,15.65%,227.41,9.903487553,18.9,727,2429.958333,24,6.0,0,Less than 5,No,Yes
8703,LA008704,No,credit_card,11.03%,245.65,11.09741002,6.38,692,3630.0,23192,85.6,0,Less than 5,No,Yes
1367,LA001368,Yes,major_purchase,10.20%,97.09,10.91508846,0.33,802,3216.958333,37,0.2,0,Less than 5,No,Yes
8744,LA008745,No,credit_card,10.64%,244.27,10.59663473,2.07,702,11730.0,599,3.2,1,Less than 10,Yes,No
4057,LA004058,Yes,home_improvement,8.00%,313.37,11.40756495,4.07,777,5160.0,2881,14.2,0,Less than 5,No,Yes
5333,LA005334,Yes,debt_consolidation,7.74%,112.39,11.60823564,7.78,742,5429.958333,15695,67.7,0,Less than 5,No,Yes
1180,LA001181,Yes,credit_card,11.03%,147.39,10.75790288,20.81,707,4350.0,25469,98.5,0,Less than 5,No,Yes
3743,LA003744,Yes,home_improvement,8.00%,188.02,11.28983191,7.41,807,6630.0,1112,1.2,0,Less than 5,No,Yes
844,LA00845,Yes,debt_consolidation,14.50%,550.74,11.47029976,22.27,672,5159.958333,16930,70.8,0,Less than 5,No,Yes
2961,LA002962,Yes,educational,12.21%,233.21,9.210340372000001,0.0,717,1334.0,0,0.0,0,Less than 5,No,Yes
1749,LA001750,Yes,debt_consolidation,12.21%,45.81,11.00209984,21.09,692,3780.041667,1361,11.1,1,Less than 5,No,Yes
2368,LA002369,Yes,debt_consolidation,12.53%,200.8,10.43399815,24.71,702,3930.041667,8375,58.2,0,Less than 5,No,Yes
3286,LA003287,Yes,educational,8.00%,31.34,10.30895266,9.04,742,3449.958333,1928,7.4,0,Less than 5,No,Yes
1475,LA001476,Yes,debt_consolidation,11.14%,262.45,11.00209984,8.64,702,4350.0,3754,50.7,0,Less than 5,Yes,Yes
1362,LA001363,Yes,home_improvement,10.20%,242.71,11.27663335,11.99,732,4686.958333,42703,40.4,0,Less than 5,No,No
7284,LA007285,Yes,major_purchase,10.99%,785.65,11.42954386,15.69,742,4845.0,14065,38.9,0,Less than 5,No,Yes
3739,LA003740,Yes,educational,11.26%,164.32,11.0744205,7.72,717,5699.958333,1460,38.4,0,Less than 5,No,Yes
4404,LA004405,Yes,debt_consolidation,12.87%,538.14,10.858999,12.48,712,4320.0,15499,74.9,0,Less than 5,No,Yes
1810,LA001811,Yes,debt_consolidation,13.67%,416.72,10.30895266,13.28,692,1132.0,12558,61.3,0,Less than 5,No,No
4313,LA004314,Yes,educational,11.48%,118.69,9.903687533,3.6,722,1530.0,3475,21.6,0,Less than 5,No,Yes
2115,LA002116,Yes,debt_consolidation,13.79%,477.06,11.3736634,17.26,702,6960.0,43998,87.6,0,Less than 5,No,No
4383,LA004384,Yes,major_purchase,14.61%,689.51,11.65268741,1.82,767,5821.0,1,0.0,0,Less than 5,No,Yes
2358,LA002359,Yes,home_improvement,12.21%,333.15,11.112447900000001,11.77,742,5129.958333,220,4.0,0,Less than 5,No,Yes
7003,LA007004,Yes,credit_card,11.48%,98.91,10.55841352,3.05,722,1620.041667,3738,30.4,0,Less than 5,No,Yes
2459,LA002460,Yes,small_business,14.74%,172.69,10.81977828,6.79,692,1260.0,6165,79.0,0,Less than 5,No,Yes
4417,LA004418,Yes,home_improvement,11.14%,393.65,11.35040654,6.58,752,5880.0,0,0.0,0,Less than 5,No,Yes
2870,LA002871,Yes,small_business,12.84%,504.27,11.35040654,11.92,722,5489.958333,27662,73.4,0,Less than 5,No,Yes
5276,LA005277,Yes,all_other,14.96%,207.87,10.49127422,13.8,687,1319.958333,2439,78.7,0,Less than 5,No,Yes
2930,LA002931,Yes,debt_consolidation,13.16%,202.63,11.15625052,23.91,692,2130.0,22713,43.1,0,Less than 5,No,Yes
1826,LA001827,Yes,debt_consolidation,9.32%,255.58,10.30895266,8.48,752,3990.0,8840,24.6,0,Less than 5,No,Yes
6125,LA006126,Yes,debt_consolidation,7.40%,155.3,10.69194491,13.58,777,4020.0,37803,35.2,0,Less than 5,No,Yes
6793,LA006794,Yes,small_business,15.31%,417.79,11.00209984,14.3,732,2371.041667,19068,89.9,0,Less than 5,No,Yes
511,LA00512,Yes,debt_consolidation,9.76%,627.02,11.40756495,1.95,767,3180.041667,8629,17.6,0,Less than 5,No,Yes
3925,LA003926,Yes,all_other,8.94%,142.98,11.51292546,9.6,752,3893.958333,50284,32.6,0,Less than 5,No,Yes
1405,LA001406,Yes,credit_card,12.41%,233.88,11.51292546,7.88,677,9270.0,6410,41.4,0,Less than 5,No,Yes
8514,LA008515,No,debt_consolidation,12.92%,176.7,9.903487553,13.38,667,900.0,3987,97.2,0,Less than 5,No,No
5599,LA005600,Yes,credit_card,12.87%,269.07,11.33857208,6.19,727,5142.0,685,85.6,0,Less than 5,No,No
6697,LA006698,Yes,all_other,12.18%,352.98,11.45105006,8.49,737,5040.0,9044,24.1,0,Less than 5,Yes,Yes
2180,LA002181,Yes,small_business,12.53%,150.6,11.0744205,22.47,717,9780.0,8596,90.5,0,Less than 5,No,Yes
5315,LA005316,Yes,major_purchase,7.74%,124.88,11.15625052,5.76,797,7259.958333,825,1.4,0,Less than 5,No,Yes
8033,LA008034,No,debt_consolidation,16.28%,282.37,10.18111929,25.0,662,2010.0416670000002,8768,71.9,0,Less than 5,No,No
7327,LA007328,Yes,debt_consolidation,13.85%,306.94,10.66895539,24.0,697,2340.041667,9170,90.8,0,Less than 5,No,Yes
5542,LA005543,Yes,debt_consolidation,8.94%,381.26,11.34332268,5.52,792,5280.0,1940,2.4,0,Less than 5,No,Yes
7508,LA007509,Yes,all_other,13.11%,202.47,9.862665558,2.63,692,1590.041667,1586,61.0,0,Less than 5,No,Yes
1579,LA001580,Yes,home_improvement,15.88%,491.37,11.69524702,20.67,662,6000.041667,69937,97.8,0,Less than 5,No,Yes
3988,LA003989,Yes,debt_consolidation,15.37%,261.35,10.71441777,15.84,662,3210.0,5015,85.0,0,Less than 5,No,Yes
1874,LA001875,Yes,debt_consolidation,12.21%,164.91,9.998797732,22.8,692,5310.041667,10128,46.0,0,Less than 5,No,Yes
5109,LA005110,Yes,all_other,11.48%,131.88,10.59663473,0.0,802,4740.0,0,0.0,0,Less than 5,No,Yes
5447,LA005448,Yes,debt_consolidation,13.92%,150.21,9.906682443,17.58,677,1750.9583329999998,9390,83.8,0,Less than 5,No,Yes
6595,LA006596,Yes,debt_consolidation,12.53%,334.67,11.08214255,3.54,707,4890.041667,9514,27.2,0,Less than 5,No,Yes
4638,LA004639,Yes,all_other,15.65%,262.4,10.40426284,11.93,672,1470.0,1140,54.3,0,Less than 5,No,Yes
1988,LA001989,Yes,debt_consolidation,12.21%,466.41,10.9329641,14.38,712,4080.0,12837,37.8,0,Less than 5,Yes,Yes
1677,LA001678,Yes,home_improvement,9.38%,255.82,10.8731105,14.84,782,3900.0,9589,12.6,0,Less than 5,No,Yes
3342,LA003343,Yes,all_other,11.89%,281.9,11.06657586,18.06,702,3349.958333,3948,11.2,0,Less than 5,No,Yes
1659,LA001660,Yes,debt_consolidation,14.30%,411.89,11.08214255,4.95,687,4830.041667,12379,91.7,0,Less than 5,Yes,Yes
8233,LA008234,No,credit_card,14.82%,138.31,11.51292546,24.79,662,7621.0,41190,75.2,0,Less than 5,No,Yes
9463,LA009464,No,major_purchase,18.78%,146.18,10.49127422,19.2,677,1290.041667,3014,55.8,0,Less than 10,No,Yes
3785,LA003786,Yes,all_other,12.53%,133.87,10.75798798,1.07,732,1140.0,1332,19.9,0,Less than 5,No,Yes
3131,LA003132,Yes,home_improvement,13.16%,229.64,11.69107165,3.07,692,9929.958333,4820,67.9,1,Less than 5,No,Yes
1130,LA001131,Yes,debt_consolidation,11.03%,180.15,10.87804719,3.83,682,3930.0,3491,23.6,0,Less than 5,No,Yes
6096,LA006097,Yes,debt_consolidation,8.94%,444.81,11.69524702,15.8,762,4770.0,60767,80.4,0,Less than 5,No,Yes
847,LA00848,Yes,debt_consolidation,12.29%,50.03,10.27505111,4.18,662,2850.0,0,0.0,0,Less than 5,No,Yes
8062,LA008063,No,all_other,14.38%,46.39,11.00209984,21.34,642,5880.0,25254,53.1,0,Less than 40,No,Yes
8408,LA008409,No,debt_consolidation,11.34%,368.48,10.70099475,6.92,687,930.0416667000002,13215,58.2,0,Less than 5,No,Yes
5737,LA005738,Yes,debt_consolidation,13.22%,202.81,10.71441777,15.36,682,3870.0,6026,80.9,0,Less than 5,No,No
870,LA00871,Yes,debt_consolidation,15.76%,659.61,11.69524702,14.23,677,5070.0,27550,94.6,1,Less than 5,Yes,Yes
5103,LA005104,Yes,home_improvement,13.92%,409.65,11.40756495,13.99,687,7949.958333,21648,86.9,0,Less than 5,Yes,Yes
5485,LA005486,Yes,small_business,15.65%,139.95,10.91508846,10.82,697,7949.958333,405,6.2,0,Less than 5,No,Yes
8050,LA008051,No,all_other,15.65%,524.77,11.184421400000002,8.73,652,4229.041667,3193,59.1,0,Less than 5,Yes,No
9003,LA009004,No,home_improvement,12.84%,201.71,11.35040654,12.16,707,3600.0,24364,63.8,0,Less than 5,No,Yes
1618,LA001619,Yes,debt_consolidation,12.72%,167.8,10.21097225,7.19,682,1860.0416670000002,5091,57.2,0,Less than 5,No,Yes
267,LA00268,Yes,credit_card,9.01%,381.66,11.51961693,6.64,722,10290.04167,7606,18.6,1,Less than 5,No,Yes
3177,LA003178,Yes,debt_consolidation,11.89%,306.77,11.08214255,16.28,747,5204.958333,10111,23.7,0,Less than 10,Yes,Yes
1398,LA001399,Yes,small_business,10.51%,260.06,10.71441777,11.41,787,3929.958333,2193,6.9,0,Less than 5,No,Yes
8862,LA008863,No,debt_consolidation,14.30%,154.46,10.38899537,19.5,687,840.0416667000002,2967,42.4,0,Less than 5,No,No
8775,LA008776,No,debt_consolidation,14.75%,259.08,10.7342204,17.73,652,5001.958333,6131,68.9,0,Less than 5,No,Yes
7538,LA007539,Yes,all_other,7.14%,154.7,11.15910359,6.31,747,4260.041667,5413,20.0,0,Less than 5,No,Yes
1811,LA001812,Yes,debt_consolidation,11.14%,262.43,10.858999,19.06,762,10710.0,2477,18.2,0,Less than 10,No,Yes
687,LA00688,Yes,all_other,12.29%,667.06,11.08214255,13.5,692,2370.041667,6045,34.9,1,Less than 5,No,No
2412,LA002413,Yes,small_business,11.89%,99.5,10.30895266,18.28,712,7020.0,14577,34.7,0,Less than 5,No,Yes
6510,LA006511,Yes,debt_consolidation,11.48%,296.72,10.4341158,24.49,722,4050.0,8016,49.8,0,Less than 5,No,Yes
3290,LA003291,Yes,small_business,13.16%,151.97,10.96819829,2.13,692,2040.0,4824,38.3,0,Less than 5,No,Yes
4809,LA004810,Yes,debt_consolidation,12.87%,311.11,10.22034,18.97,687,2550.0,9666,83.3,0,Less than 5,No,Yes
7202,LA007203,Yes,major_purchase,7.14%,30.94,10.83958091,16.99,762,5580.041667,737,7.8,0,Less than 5,No,Yes
5769,LA005770,Yes,debt_consolidation,15.65%,587.77,11.28978191,23.65,672,1890.0,19333,61.2,0,Less than 5,No,Yes
2819,LA002820,Yes,small_business,9.63%,433.28,10.89673933,18.2,757,4431.958333,18116,40.7,0,Less than 5,No,Yes
8312,LA008313,No,debt_consolidation,16.08%,111.75,10.49127422,26.03,667,2507.041667,19636,103.9,0,Less than 20,No,Yes
1624,LA001625,Yes,debt_consolidation,12.09%,399.09,11.12726298,4.29,697,1710.0,9273,19.7,0,Less than 5,No,Yes
5086,LA005087,Yes,debt_consolidation,13.22%,540.81,11.00209984,11.76,707,4199.958333,8834,70.7,0,Less than 5,Yes,Yes
1318,LA001319,Yes,credit_card,12.54%,226.78,11.37779279,20.95,702,6630.0,31518,93.2,0,Less than 5,No,Yes
1909,LA001910,Yes,credit_card,9.32%,95.85,10.89673933,6.6,727,1921.0416670000002,2979,28.9,0,Less than 5,No,No
7302,LA007303,Yes,debt_consolidation,12.73%,402.8,11.40756495,22.75,697,5010.041667,42632,45.9,0,Less than 5,No,Yes
7611,LA007612,Yes,all_other,7.51%,435.54,11.23321156,3.68,772,5130.0,11723,32.1,0,Less than 5,No,Yes
1427,LA001428,Yes,credit_card,9.38%,191.87,10.71441777,10.69,742,2760.0,1774,13.3,0,Less than 5,No,Yes
9117,LA009118,No,debt_consolidation,11.89%,99.5,10.75790288,24.59,702,6659.958333,62265,68.5,1,Less than 5,No,No
6543,LA006544,Yes,all_other,14.96%,831.48,11.98292909,0.2,707,5223.041667,255,0.8,0,Less than 5,Yes,Yes
4188,LA004189,Yes,all_other,12.87%,201.8,11.08220409,13.09,682,3960.0,10134,38.5,0,Less than 5,No,Yes
595,LA00596,Yes,debt_consolidation,8.00%,94.01,10.49127422,2.6,742,4380.0,2456,23.4,0,Less than 5,Yes,Yes
7430,LA007431,Yes,all_other,7.88%,65.69,9.952277717000001,21.52,752,1688.0416670000002,564,7.6,0,Less than 5,No,Yes
8762,LA008763,No,educational,15.70%,157.55,10.65608219,23.89,662,2130.0,5361,42.2,0,Less than 20,No,No
792,LA00793,Yes,debt_consolidation,13.24%,540.96,10.59663473,11.73,672,3210.0,5671,55.1,0,Less than 5,No,Yes
6251,LA006252,Yes,debt_consolidation,13.57%,407.63,11.49276357,0.18,712,5970.041667,440,7.9,0,Less than 5,No,Yes
6073,LA006074,Yes,credit_card,14.96%,242.52,11.26446411,2.64,667,3660.0,54727,89.2,0,Less than 5,No,Yes
